"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
589438 Dobrochov 270 172 170 "Strana svobodných občanů" 3
589438 Dobrochov 270 172 170 "Blok proti islam.-Obran.domova" 0
589438 Dobrochov 270 172 170 "Občanská demokratická aliance" 0
589438 Dobrochov 270 172 170 "Česká pirátská strana" 13
589446 Dobromilice 629 308 308 "Občanská demokratická strana" 9
589446 Dobromilice 629 308 308 "Řád národa - Vlastenecká unie" 0
589446 Dobromilice 629 308 308 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 4
589446 Dobromilice 629 308 308 "Česká str.sociálně demokrat." 22
589446 Dobromilice 629 308 308 "Radostné Česko" 0
589446 Dobromilice 629 308 308 "STAROSTOVÉ A NEZÁVISLÍ" 14
589446 Dobromilice 629 308 308 "Komunistická str.Čech a Moravy" 42
589446 Dobromilice 629 308 308 "Strana zelených" 1
589446 Dobromilice 629 308 308 "ROZUMNÍ-stop migraci,diktát.EU" 0
589446 Dobromilice 629 308 308 "Strana svobodných občanů" 1
589446 Dobromilice 629 308 308 "Blok proti islam.-Obran.domova" 0
589446 Dobromilice 629 308 308 "Občanská demokratická aliance" 0
589446 Dobromilice 629 308 308 "Česká pirátská strana" 10
589454 Doloplazy 459 244 244 "Občanská demokratická strana" 24
589454 Doloplazy 459 244 244 "Řád národa - Vlastenecká unie" 1
589454 Doloplazy 459 244 244 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589454 Doloplazy 459 244 244 "Česká str.sociálně demokrat." 20
589454 Doloplazy 459 244 244 "Radostné Česko" 0
589454 Doloplazy 459 244 244 "STAROSTOVÉ A NEZÁVISLÍ" 5
589454 Doloplazy 459 244 244 "Komunistická str.Čech a Moravy" 37
589454 Doloplazy 459 244 244 "Strana zelených" 2
589454 Doloplazy 459 244 244 "ROZUMNÍ-stop migraci,diktát.EU" 0
589454 Doloplazy 459 244 244 "Strana svobodných občanů" 3
589454 Doloplazy 459 244 244 "Blok proti islam.-Obran.domova" 0
